time,equity,capital,dd,trades,wr
2026-08-23T04:44:11.126908,100855.46,100855.46,0.0030,130,55.4
2026-08-23T04:45:12.333045,100855.46,100855.46,0.0031,130,55.4
2026-08-23T04:46:13.612538,100855.46,100855.46,0.0032,130,55.4
2026-08-23T04:47:14.937145,100855.46,100855.46,0.0031,130,55.4
2026-08-23T04:48:16.182182,100855.46,100855.46,0.0032,130,55.4
2026-08-23T04:49:17.411100,100855.46,100855.46,0.0035,130,55.4
2026-08-23T04:50:18.613198,100855.46,100855.46,0.0033,130,55.4
2026-08-23T04:51:19.886861,100855.46,100855.46,0.0033,130,55.4
2026-08-23T04:52:21.118309,100855.46,100855.46,0.0033,130,55.4
2026-08-23T04:53:22.365002,100855.46,100855.46,0.0033,130,55.4
2026-08-23T04:54:23.694036,100855.46,100855.46,0.0033,130,55.4
2026-08-23T04:55:24.888164,100855.46,100855.46,0.0033,130,55.4
2026-08-23T04:56:26.174921,100855.46,100855.46,0.0033,130,55.4
2026-08-23T04:57:27.404826,100855.46,100855.46,0.0033,130,55.4
2026-08-23T04:58:28.738472,100855.46,100855.46,0.0034,130,55.4
2026-08-23T04:59:29.976856,100855.46,100855.46,0.0034,130,55.4
2026-08-23T05:00:31.386453,100855.46,100855.46,0.0034,130,55.4
2026-08-23T05:01:32.658155,100855.46,100855.46,0.0033,130,55.4
2026-08-23T05:02:33.891438,100855.46,100855.46,0.0034,130,55.4
2026-08-23T05:03:35.128064,100855.46,100855.46,0.0035,130,55.4
2026-08-23T05:04:36.565942,100855.46,100855.46,0.0034,130,55.4
2026-08-23T05:05:37.802793,100855.46,100855.46,0.0034,130,55.4
2026-08-23T05:06:39.049955,100855.46,100855.46,0.0035,130,55.4
2026-08-23T05:07:40.479496,100855.46,100855.46,0.0034,130,55.4
2026-08-23T05:08:41.546271,100855.46,100855.46,0.0036,130,55.4
2026-08-23T05:09:42.816693,100855.46,100855.46,0.0036,130,55.4
2026-08-23T05:10:44.188778,100855.46,100855.46,0.0035,130,55.4
2026-08-23T05:11:45.429574,100855.46,100855.46,0.0036,130,55.4
2026-08-23T05:12:46.616938,100855.46,100855.46,0.0036,130,55.4
2026-08-23T05:13:47.794081,100855.46,100855.46,0.0036,130,55.4
2026-08-23T05:14:49.031578,100855.46,100855.46,0.0037,130,55.4
2026-08-23T05:15:50.368393,100855.46,100855.46,0.0038,130,55.4
