time,equity,capital,dd,trades,wr
2026-08-19T01:53:44.544894,100000.00,100000.00,0.0003,0,0.0
2026-08-19T01:54:45.781893,100000.00,100000.00,0.0003,0,0.0
2026-08-19T01:55:47.067089,100000.00,100000.00,0.0003,0,0.0
2026-08-19T01:56:48.353451,100000.00,100000.00,0.0003,0,0.0
2026-08-19T01:57:49.590277,100000.00,100000.00,0.0003,0,0.0
2026-08-19T01:58:50.928053,100000.00,100000.00,0.0003,0,0.0
2026-08-19T01:59:52.162243,100000.00,100000.00,0.0003,0,0.0
2026-08-19T02:00:54.217188,100000.00,100000.00,0.0003,0,0.0
2026-08-19T02:01:55.452635,100000.00,100000.00,0.0003,0,0.0
2026-08-19T02:02:56.688730,100000.00,100000.00,0.0003,0,0.0
2026-08-19T02:03:58.026141,100000.00,100000.00,0.0003,0,0.0
2026-08-19T02:04:59.310154,100000.00,100000.00,0.0003,0,0.0
2026-08-19T02:06:00.449810,100000.00,100000.00,0.0003,0,0.0
2026-08-19T02:07:01.781747,100000.00,100000.00,0.0003,0,0.0
2026-08-19T02:08:03.069170,100000.00,100000.00,0.0003,0,0.0
2026-08-19T02:09:04.308191,100000.00,100000.00,0.0004,0,0.0
2026-08-19T02:10:05.543635,100000.00,100000.00,0.0004,0,0.0
2026-08-19T02:11:06.780229,100000.00,100000.00,0.0003,0,0.0
2026-08-19T02:12:08.221343,100000.00,100000.00,0.0003,0,0.0
2026-08-19T02:13:09.410966,100000.00,100000.00,0.0003,0,0.0
2026-08-19T02:14:10.592566,100000.00,100000.00,0.0003,0,0.0
2026-08-19T02:15:11.826511,100000.00,100000.00,0.0003,0,0.0
2026-08-19T02:16:13.062241,100000.00,100000.00,0.0003,0,0.0
2026-08-19T02:17:14.296643,100000.00,100000.00,0.0003,0,0.0
2026-08-19T02:18:15.534479,100000.00,100000.00,0.0004,0,0.0
2026-08-19T02:19:16.721960,100000.00,100000.00,0.0004,0,0.0
