time,symbol,dir,entry,exit,resolve,pnl_pct,pnl_dollar,reason,equity,trades,wr
2026-09-11T08:49:46.096015,VTHOUSDT,long,0.00,0.00,market,0.0290,1.27,TP,11.63,38,44.7
2026-09-11T08:54:13.294775,IOSTUSDT,long,0.00,0.00,market,0.0146,0.68,TIMEOUT,12.31,39,46.2
2026-09-11T09:00:36.988449,VTHOUSDT,long,0.00,0.00,market,-0.0160,-0.74,SL,11.56,40,45.0
2026-09-11T09:02:55.270835,IOSTUSDT,long,0.00,0.00,market,0.0290,1.43,TP,12.99,41,46.3
2026-09-11T09:03:44.079955,IOSTUSDT,long,0.00,0.00,market,-0.0160,-0.83,SL,12.16,42,45.2
2026-09-11T09:18:29.442459,VTHOUSDT,long,0.00,0.00,market,-0.0111,-0.51,TIMEOUT,11.64,43,44.2
2026-09-11T09:19:35.597849,VTHOUSDT,long,0.00,0.00,market,-0.0160,-0.74,SL,10.90,44,43.2
2026-09-11T09:31:19.282693,IOSTUSDT,long,0.00,0.00,market,-0.0160,-0.78,TIMEOUT,10.12,45,42.2
2026-09-11T11:07:56.739942,BEATUSDT,long,0.08,0.08,market,-0.0160,-0.65,SL,9.48,46,41.3
2026-09-11T11:09:42.768053,VTHOUSDT,short,0.00,0.00,market,-0.0160,-0.65,SL,8.83,47,40.4
2026-09-11T11:14:39.903008,IOSTUSDT,short,0.00,0.00,market,-0.0016,-0.07,TIMEOUT,8.76,48,39.6
2026-09-11T11:29:13.261484,BEATUSDT,long,0.08,0.08,market,0.0003,0.01,TIMEOUT,8.77,49,40.8
2026-09-11T12:32:15.335568,VTHOUSDT,long,0.00,0.00,market,-0.0160,-0.56,SL,8.21,50,40.0
2026-09-11T12:54:26.329069,ZECUSDT,long,1147.70,1164.46,market,0.0136,0.44,TIMEOUT,8.65,51,41.2
2026-09-11T13:11:20.919687,ZECUSDT,long,1164.46,1146.99,market,-0.0160,-0.54,SL,8.11,52,40.4
2026-09-11T13:18:00.924255,BULLAUSDT,long,0.08,0.07,market,-0.0108,-0.37,TIMEOUT,7.73,53,39.6
2026-09-11T13:20:30.820976,RAYSOLUSDT,long,1.61,1.62,market,0.0033,0.12,TIMEOUT,7.85,54,40.7
2026-09-11T13:30:18.823090,ZECUSDT,long,1144.86,1153.41,market,0.0065,0.21,TIMEOUT,8.06,55,41.8
2026-09-11T13:45:55.165179,RAYSOLUSDT,long,1.60,1.59,market,-0.0061,-0.19,TIMEOUT,7.86,56,41.1
2026-09-11T13:46:13.469311,MAGMAUSDT,long,0.25,0.25,market,-0.0043,-0.13,TIMEOUT,7.73,57,40.4
2026-09-11T13:50:38.023479,ZECUSDT,long,1153.41,1171.65,market,0.0148,0.46,TIMEOUT,8.19,58,41.4
2026-09-11T14:04:31.360958,ZECUSDT,long,1171.65,1206.80,market,0.0290,0.92,TP,9.11,59,42.4
2026-09-11T14:04:39.740237,1000PEPEUSDT,long,0.00,0.00,market,0.0290,0.95,TP,10.06,60,43.3
2026-09-11T14:08:14.995199,MAGMAUSDT,long,0.25,0.25,market,0.0047,0.15,TIMEOUT,10.20,61,44.3
2026-09-11T14:27:01.408266,ZECUSDT,long,1214.34,1202.63,market,-0.0106,-0.43,TIMEOUT,9.78,62,43.5
2026-09-11T14:31:43.829677,RAYSOLUSDT,long,1.65,1.65,market,-0.0005,-0.02,TIMEOUT,9.76,63,42.9
2026-09-11T14:34:29.034245,MAGMAUSDT,long,0.25,0.25,market,-0.0080,-0.33,TIMEOUT,9.43,64,42.2
2026-09-11T14:35:52.864620,ZECUSDT,long,1202.63,1184.59,market,-0.0160,-0.62,SL,8.82,65,41.5
2026-09-11T14:50:00.953440,RAYSOLUSDT,long,1.65,1.64,market,-0.0079,-0.31,TIMEOUT,8.51,66,40.9
2026-09-11T15:30:25.209449,ZECUSDT,long,1185.36,1198.57,market,0.0101,0.34,TIMEOUT,8.85,67,41.8
2026-09-11T15:34:29.137564,EIGENUSDT,long,0.22,0.23,market,0.0146,0.50,TIMEOUT,9.34,68,42.6
2026-09-11T16:10:12.404458,MAGMAUSDT,long,0.26,0.26,market,-0.0160,-0.60,SL,8.75,69,42.0
2026-09-11T16:27:50.616229,MAGMAUSDT,long,0.26,0.26,market,-0.0160,-0.56,SL,8.19,70,41.4
2026-09-11T18:22:21.762394,BEATUSDT,long,0.09,0.09,market,0.0290,0.95,TP,9.14,71,42.3
2026-09-11T18:26:12.779623,KOMAUSDT,long,0.01,0.01,market,0.0004,0.01,TIMEOUT,9.15,72,43.1
2026-09-11T18:40:04.084866,BEATUSDT,long,0.09,0.09,market,0.0067,0.24,TIMEOUT,9.39,73,43.8
2026-09-11T18:58:42.300074,BEATUSDT,long,0.09,0.09,market,0.0185,0.70,TIMEOUT,10.09,74,44.6
2026-09-11T19:15:54.962974,BEATUSDT,long,0.09,0.09,market,-0.0160,-0.64,SL,9.45,75,44.0
2026-09-11T19:17:00.869220,KOMAUSDT,long,0.01,0.01,market,-0.0160,-0.65,SL,8.80,76,43.4
2026-09-11T19:23:38.284474,BEATUSDT,long,0.09,0.09,market,-0.0160,-0.60,SL,8.20,77,42.9
2026-09-11T19:35:39.291670,KOMAUSDT,long,0.01,0.01,market,-0.0031,-0.11,TIMEOUT,8.09,78,42.3
2026-09-11T21:45:41.883646,RAYSOLUSDT,long,1.67,1.65,market,-0.0146,-0.47,TIMEOUT,7.62,79,41.8
2026-09-11T21:51:15.410896,BEATUSDT,long,0.09,0.09,market,-0.0106,-0.34,TIMEOUT,7.27,80,41.2
2026-09-11T21:57:10.844185,QUSDT,short,0.03,0.03,market,0.0290,0.88,TP,8.16,81,42.0
2026-09-12T00:46:02.823017,BULLAUSDT,long,0.08,0.07,market,-0.0160,-0.52,SL,7.64,82,41.5
2026-09-12T00:51:31.571935,VTHOUSDT,long,0.00,0.00,market,-0.0160,-0.49,SL,7.15,83,41.0
2026-09-12T00:55:01.188666,VTHOUSDT,long,0.00,0.00,market,-0.0160,-0.46,SL,6.69,84,40.5
2026-09-12T02:21:57.010975,VTHOUSDT,long,0.00,0.00,market,-0.0160,-0.43,SL,6.26,85,40.0
2026-09-12T02:27:52.350882,VTHOUSDT,long,0.00,0.00,market,-0.0160,-0.40,SL,5.86,86,39.5
2026-09-12T02:58:50.735558,BEATUSDT,long,0.10,0.10,market,-0.0160,-0.37,SL,5.49,87,39.1
2026-09-12T03:28:48.186095,BEATUSDT,long,0.10,0.09,market,-0.0160,-0.35,SL,5.14,88,38.6
2026-09-12T03:41:22.577078,QUSDT,short,0.02,0.02,market,0.0290,0.60,TP,5.73,89,39.3
2026-09-12T03:58:09.072396,BEATUSDT,long,0.09,0.10,market,0.0276,0.57,TIMEOUT,6.30,90,40.0
2026-09-12T03:58:24.638108,QUSDT,short,0.02,0.02,market,-0.0160,-0.37,SL,5.93,91,39.6
2026-09-12T03:59:48.721007,BEATUSDT,long,0.10,0.10,market,-0.0160,-0.38,SL,5.55,92,39.1
2026-09-12T04:01:50.670348,BEATUSDT,short,0.09,0.09,market,-0.0160,-0.36,SL,5.20,93,38.7
2026-09-12T04:04:19.468391,QUSDT,short,0.02,0.02,market,0.0290,0.69,TP,5.89,94,39.4
2026-09-12T04:15:54.141740,RAYSOLUSDT,short,1.61,1.60,market,0.0090,0.21,TIMEOUT,6.10,95,40.0
